OpportunityId,OpportunityName,AccountId,StageName,Amount,CloseDate
006000000000000,Opportunity 0,001000000000163,Closed Won,240435.52,2024-07-18 00:15:09
006000000000001,Opportunity 1,001000000000386,Closed Won,809322.07,2024-01-03 11:48:25
006000000000002,Opportunity 2,001000000000072,Closed Lost,68502.95,2023-01-09 12:59:14
006000000000003,Opportunity 3,001000000000135,Closed Won,899858.91,2024-02-27 00:28:08
006000000000004,Opportunity 4,001000000000352,Closed Lost,654260.86,2023-04-01 17:48:50
006000000000005,Opportunity 5,001000000000378,Closed Lost,875484.46,2024-11-10 06:40:46
006000000000006,Opportunity 6,001000000000069,Closed Lost,10186.52,2023-04-16 06:36:21
006000000000007,Opportunity 7,001000000000424,Proposal,177390.26,2023-03-10 16:24:21
006000000000008,Opportunity 8,001000000000486,Needs Analysis,395861.79,2023-02-22 04:56:19
006000000000009,Opportunity 9,001000000000195,Closed Lost,385707.87,2024-05-08 07:34:47
006000000000010,Opportunity 10,001000000000268,Closed Lost,234463.08,2023-10-31 13:20:28
006000000000011,Opportunity 11,001000000000048,Needs Analysis,387795.82,2024-06-29 07:54:18
006000000000012,Opportunity 12,001000000000315,Prospecting,137560.22,2023-05-12 14:00:56
006000000000013,Opportunity 13,001000000000129,Closed Lost,418633.52,2024-05-30 16:57:07
006000000000014,Opportunity 14,001000000000443,Proposal,804330.79,2024-06-01 07:49:13
006000000000015,Opportunity 15,001000000000004,Closed Won,484279.36,2023-06-19 09:02:51
006000000000016,Opportunity 16,001000000000427,Closed Won,27820.09,2023-12-16 02:15:53
006000000000017,Opportunity 17,001000000000026,Qualification,427229.6,2023-10-09 17:18:29
006000000000018,Opportunity 18,001000000000159,Qualification,36903.27,2024-09-03 21:14:40
006000000000019,Opportunity 19,001000000000148,Closed Won,966580.98,2023-03-31 04:11:34
006000000000020,Opportunity 20,001000000000263,Closed Won,136179.42,2024-02-20 21:28:59
006000000000021,Opportunity 21,001000000000229,Proposal,710611.44,2023-03-22 21:50:07
006000000000022,Opportunity 22,001000000000199,Needs Analysis,973048.56,2023-12-29 17:02:38
006000000000023,Opportunity 23,001000000000049,Qualification,827778.66,2023-02-22 11:04:48
006000000000024,Opportunity 24,001000000000066,Needs Analysis,702322.22,2023-10-09 21:49:27
006000000000025,Opportunity 25,001000000000299,Proposal,841066.3,2023-11-21 00:35:39
006000000000026,Opportunity 26,001000000000380,Closed Won,981980.71,2023-12-28 02:04:41
006000000000027,Opportunity 27,001000000000057,Closed Lost,625131.05,2024-10-27 02:26:19
006000000000028,Opportunity 28,001000000000258,Needs Analysis,563592.96,2023-01-28 08:26:02
006000000000029,Opportunity 29,001000000000341,Closed Won,631955.73,2024-10-01 01:05:57
006000000000030,Opportunity 30,001000000000325,Closed Won,537349.13,2023-03-07 18:00:20
006000000000031,Opportunity 31,001000000000129,Prospecting,638738.21,2024-11-21 05:22:49
006000000000032,Opportunity 32,001000000000214,Needs Analysis,455343.79,2023-08-14 08:20:10
006000000000033,Opportunity 33,001000000000171,Closed Lost,226258.75,2024-01-12 19:40:30
006000000000034,Opportunity 34,001000000000257,Needs Analysis,129044.75,2024-05-26 01:09:49
006000000000035,Opportunity 35,001000000000101,Closed Won,77657.53,2024-02-20 12:15:36
006000000000036,Opportunity 36,001000000000208,Closed Lost,270682.63,2024-06-22 11:21:05
006000000000037,Opportunity 37,001000000000290,Proposal,55662.33,2024-05-05 08:26:12
006000000000038,Opportunity 38,001000000000353,Prospecting,571499.07,2024-11-08 16:21:26
006000000000039,Opportunity 39,001000000000470,Closed Won,290990.16,2023-04-06 19:26:23
006000000000040,Opportunity 40,001000000000285,Qualification,826289.46,2023-07-17 13:36:31
006000000000041,Opportunity 41,001000000000115,Qualification,83498.46,2024-08-22 10:29:08
006000000000042,Opportunity 42,001000000000263,Prospecting,234087.98,2024-11-10 23:19:52
006000000000043,Opportunity 43,001000000000149,Proposal,732943.69,2024-01-09 15:58:24
006000000000044,Opportunity 44,001000000000299,Closed Won,602820.21,2023-08-20 05:31:34
006000000000045,Opportunity 45,001000000000441,Needs Analysis,73846.36,2023-04-27 02:23:53
006000000000046,Opportunity 46,001000000000035,Prospecting,878467.06,2023-08-13 08:40:38
006000000000047,Opportunity 47,001000000000452,Proposal,878489.15,2023-08-05 00:29:39
006000000000048,Opportunity 48,001000000000332,Needs Analysis,337103.92,2023-03-03 09:22:00
006000000000049,Opportunity 49,001000000000476,Qualification,347001.78,2024-09-06 15:10:53
006000000000050,Opportunity 50,001000000000286,Qualification,989138.07,2024-02-10 02:52:59
006000000000051,Opportunity 51,001000000000302,Needs Analysis,629914.41,2023-03-09 06:56:15
006000000000052,Opportunity 52,001000000000310,Prospecting,536003.36,2023-10-06 00:07:43
006000000000053,Opportunity 53,001000000000207,Qualification,839770.66,2023-05-26 10:17:14
006000000000054,Opportunity 54,001000000000105,Closed Won,292437.43,2023-12-02 21:49:40
006000000000055,Opportunity 55,001000000000445,Closed Lost,434890.77,2023-10-17 23:55:15
006000000000056,Opportunity 56,001000000000157,Needs Analysis,275098.91,2023-03-16 21:57:32
006000000000057,Opportunity 57,001000000000120,Needs Analysis,791269.24,2023-09-28 15:28:06
006000000000058,Opportunity 58,001000000000054,Qualification,577615.85,2023-07-31 12:32:35
006000000000059,Opportunity 59,001000000000399,Prospecting,662236.82,2023-06-14 13:58:06
006000000000060,Opportunity 60,001000000000011,Closed Won,259784.18,2023-07-04 04:21:06
006000000000061,Opportunity 61,001000000000144,Prospecting,228023.05,2024-02-01 04:32:08
