TaskId,Subject,OpportunityId,Status,Priority
TaskId_186,Subject_240,OpportunityId_89,Status_191,Priority_374
TaskId_350,Subject_245,OpportunityId_23,Status_234,Priority_318
TaskId_352,Subject_454,OpportunityId_79,Status_163,Priority_23
TaskId_382,Subject_439,OpportunityId_288,Status_456,Priority_218
TaskId_261,Subject_193,OpportunityId_141,Status_8,Priority_319
TaskId_410,Subject_44,OpportunityId_66,Status_213,Priority_471
TaskId_13,Subject_71,OpportunityId_474,Status_213,Priority_404
TaskId_116,Subject_33,OpportunityId_414,Status_290,Priority_134
TaskId_184,Subject_394,OpportunityId_275,Status_31,Priority_87
TaskId_360,Subject_185,OpportunityId_422,Status_242,Priority_275
TaskId_348,Subject_38,OpportunityId_98,Status_419,Priority_208
TaskId_75,Subject_298,OpportunityId_207,Status_480,Priority_42
TaskId_32,Subject_270,OpportunityId_5,Status_228,Priority_444
TaskId_450,Subject_257,OpportunityId_313,Status_23,Priority_160
TaskId_169,Subject_182,OpportunityId_264,Status_164,Priority_274
TaskId_484,Subject_139,OpportunityId_138,Status_418,Priority_358
TaskId_434,Subject_448,OpportunityId_422,Status_178,Priority_363
TaskId_368,Subject_139,OpportunityId_99,Status_197,Priority_422
TaskId_449,Subject_309,OpportunityId_402,Status_54,Priority_215
TaskId_490,Subject_136,OpportunityId_370,Status_363,Priority_427
TaskId_151,Subject_400,OpportunityId_120,Status_350,Priority_232
TaskId_465,Subject_364,OpportunityId_15,Status_382,Priority_132
TaskId_170,Subject_243,OpportunityId_424,Status_443,Priority_329
TaskId_258,Subject_373,OpportunityId_146,Status_95,Priority_354
TaskId_437,Subject_308,OpportunityId_31,Status_112,Priority_448
TaskId_432,Subject_2,OpportunityId_283,Status_121,Priority_492
TaskId_407,Subject_416,OpportunityId_145,Status_379,Priority_285
TaskId_295,Subject_426,OpportunityId_384,Status_115,Priority_40
TaskId_12,Subject_441,OpportunityId_283,Status_355,Priority_105
TaskId_471,Subject_81,OpportunityId_401,Status_49,Priority_287
TaskId_10,Subject_19,OpportunityId_286,Status_193,Priority_244
TaskId_464,Subject_470,OpportunityId_126,Status_302,Priority_267
TaskId_277,Subject_258,OpportunityId_282,Status_94,Priority_375
TaskId_113,Subject_161,OpportunityId_463,Status_308,Priority_358
TaskId_375,Subject_351,OpportunityId_1,Status_217,Priority_3
TaskId_178,Subject_28,OpportunityId_241,Status_463,Priority_76
TaskId_492,Subject_152,OpportunityId_384,Status_71,Priority_344
TaskId_357,Subject_174,OpportunityId_118,Status_126,Priority_62
TaskId_231,Subject_109,OpportunityId_122,Status_468,Priority_274
TaskId_397,Subject_135,OpportunityId_425,Status_221,Priority_278
TaskId_232,Subject_75,OpportunityId_186,Status_312,Priority_153
TaskId_356,Subject_333,OpportunityId_169,Status_246,Priority_245
TaskId_488,Subject_169,OpportunityId_417,Status_424,Priority_159
TaskId_212,Subject_419,OpportunityId_239,Status_242,Priority_4
TaskId_69,Subject_136,OpportunityId_381,Status_250,Priority_90
TaskId_278,Subject_26,OpportunityId_78,Status_124,Priority_368
TaskId_98,Subject_280,OpportunityId_41,Status_114,Priority_139
TaskId_281,Subject_347,OpportunityId_53,Status_421,Priority_6
TaskId_135,Subject_402,OpportunityId_360,Status_401,Priority_393
TaskId_20,Subject_446,OpportunityId_460,Status_21,Priority_153
TaskId_66,Subject_489,OpportunityId_146,Status_206,Priority_371
TaskId_300,Subject_316,OpportunityId_81,Status_314,Priority_8
TaskId_174,Subject_250,OpportunityId_70,Status_394,Priority_217
TaskId_221,Subject_344,OpportunityId_357,Status_430,Priority_225
TaskId_69,Subject_315,OpportunityId_500,Status_356,Priority_36
TaskId_248,Subject_436,OpportunityId_366,Status_99,Priority_148
TaskId_293,Subject_122,OpportunityId_40,Status_309,Priority_425
TaskId_357,Subject_391,OpportunityId_127,Status_228,Priority_399
TaskId_324,Subject_454,OpportunityId_467,Status_467,Priority_186
TaskId_162,Subject_68,OpportunityId_476,Status_294,Priority_343
TaskId_120,Subject_208,OpportunityId_118,Status_148,Priority_500
TaskId_30,Subject_154,OpportunityId_326,Status_151,Priority_296
TaskId_5,Subject_230,OpportunityId_420,Status_218,Priority_425
TaskId_48,Subject_360,OpportunityId_369,Status_223,Priority_13
TaskId_162,Subject_42,OpportunityId_391,Status_162,Priority_275
TaskId_293,Subject_226,OpportunityId_474,Status_183,Priority_82
