TaskId,Subject,OpportunityId,Status,DueDate
00T000000000,Task 0,006000000000194,Not Started,2023-02-14 06:11:13
00T000000001,Task 1,006000000000185,Not Started,2024-09-08 19:46:25
00T000000002,Task 2,006000000000098,In Progress,2023-12-05 15:54:22
00T000000003,Task 3,006000000000081,Completed,2023-05-12 01:27:00
00T000000004,Task 4,006000000000074,In Progress,2024-03-07 02:43:45
00T000000005,Task 5,006000000000373,Not Started,2023-12-31 18:13:39
00T000000006,Task 6,006000000000339,Deferred,2024-07-29 13:41:54
00T000000007,Task 7,006000000000191,Completed,2023-03-12 18:49:22
00T000000008,Task 8,006000000000324,In Progress,2023-05-02 15:15:08
00T000000009,Task 9,006000000000466,Completed,2024-02-22 22:00:21
00T000000010,Task 10,006000000000213,Deferred,2024-10-16 06:34:57
00T000000011,Task 11,006000000000314,In Progress,2023-08-02 20:07:09
00T000000012,Task 12,006000000000443,Not Started,2023-11-17 13:34:53
00T000000013,Task 13,006000000000466,In Progress,2023-05-31 18:43:35
00T000000014,Task 14,006000000000381,Completed,2024-01-25 22:57:11
00T000000015,Task 15,006000000000366,Completed,2024-10-01 22:49:32
00T000000016,Task 16,006000000000317,Completed,2024-05-02 13:20:29
00T000000017,Task 17,006000000000143,Completed,2024-01-05 00:22:03
00T000000018,Task 18,006000000000383,Not Started,2024-09-18 17:30:28
00T000000019,Task 19,006000000000215,In Progress,2023-10-13 13:39:21
00T000000020,Task 20,006000000000360,Not Started,2024-11-07 21:17:10
00T000000021,Task 21,006000000000323,Not Started,2023-02-18 06:22:43
00T000000022,Task 22,006000000000014,Not Started,2024-03-17 22:24:48
00T000000023,Task 23,006000000000216,Completed,2024-10-15 15:43:06
00T000000024,Task 24,006000000000491,Completed,2024-04-01 10:34:41
00T000000025,Task 25,006000000000438,Completed,2023-03-07 20:08:25
00T000000026,Task 26,006000000000034,In Progress,2023-04-17 08:56:57
00T000000027,Task 27,006000000000182,Deferred,2023-10-11 03:42:27
00T000000028,Task 28,006000000000269,Completed,2023-02-19 20:08:00
00T000000029,Task 29,006000000000432,In Progress,2023-12-17 01:36:46
00T000000030,Task 30,006000000000466,Completed,2023-06-16 13:09:32
00T000000031,Task 31,006000000000357,Completed,2024-10-26 09:53:43
00T000000032,Task 32,006000000000099,Not Started,2023-03-20 18:18:00
00T000000033,Task 33,006000000000006,Not Started,2023-07-16 15:26:59
00T000000034,Task 34,006000000000029,Not Started,2023-08-09 06:58:49
00T000000035,Task 35,006000000000466,In Progress,2023-10-14 20:22:42
00T000000036,Task 36,006000000000304,Deferred,2024-10-23 02:56:17
00T000000037,Task 37,006000000000472,Deferred,2023-05-06 11:54:12
00T000000038,Task 38,006000000000143,In Progress,2024-03-13 03:41:17
00T000000039,Task 39,006000000000110,Completed,2024-10-21 12:33:22
00T000000040,Task 40,006000000000231,In Progress,2024-11-25 03:36:25
00T000000041,Task 41,006000000000178,Completed,2024-01-22 13:48:06
00T000000042,Task 42,006000000000071,In Progress,2023-02-03 05:23:01
00T000000043,Task 43,006000000000209,In Progress,2024-11-02 13:06:23
00T000000044,Task 44,006000000000219,In Progress,2023-10-03 09:00:48
00T000000045,Task 45,006000000000079,Deferred,2023-04-04 23:40:59
00T000000046,Task 46,006000000000499,Not Started,2023-05-18 12:54:47
00T000000047,Task 47,006000000000082,In Progress,2024-10-02 13:48:17
00T000000048,Task 48,006000000000041,Deferred,2024-04-09 18:08:52
00T000000049,Task 49,006000000000272,Not Started,2023-07-15 02:14:16
00T000000050,Task 50,006000000000190,Not Started,2023-03-04 14:24:07
00T000000051,Task 51,006000000000172,In Progress,2023-01-02 20:48:17
00T000000052,Task 52,006000000000460,Completed,2023-11-22 15:24:40
00T000000053,Task 53,006000000000006,Completed,2023-01-23 08:29:35
00T000000054,Task 54,006000000000154,Completed,2023-02-19 02:44:20
00T000000055,Task 55,006000000000009,In Progress,2024-02-20 01:04:25
00T000000056,Task 56,006000000000033,Completed,2023-03-10 14:07:49
00T000000057,Task 57,006000000000035,Deferred,2023-09-01 00:37:38
00T000000058,Task 58,006000000000408,Deferred,2023-03-20 00:00:02
00T000000059,Task 59,006000000000005,Deferred,2024-02-17 12:23:53
00T000000060,Task 60,006000000000407,Deferred,2024-09-05 13:56:10
00T000000061,Task 61,006000000000401,Not Started,2024-03-04 08:35:05
00T000000062,Task 62,006000000000214,Deferred,2023-03-30 00:38:22
00T000000063,Task 63,006000000000133,Completed,2023-10-17 19:06:51
00T000000064,Task 64,006000000000284,In Progress,2023-01-21 00:58:50
00T000000065,Task 65,006000000000125,Completed,2024-03-26 09:12:11
00T000000066,Task 66,006000000000408,Deferred,2024-06-08 22:47:55
00T000000067,Task 67,006000000000438,Not Started,2023-03-20 09:28:49
00T000000068,Task 68,006000000000336,Deferred,2023-04-09 17:35:08
00T000000069,Task 69,006000000000173,In Progress,2023-03-06 06:23:32
00T000000070,Task 70,006000000000151,Completed,2024-04-15 09:52:21
00T000000071,Task 71,006000000000330,In Progress,2024-01-04 18:28:27
00T000000072,Task 72,006000000000025,In Progress,2023-03-21 01:01:53
00T000000073,Task 73,006000000000382,In Progress,2024-06-08 11:58:54
00T000000074,Task 74,006000000000114,Completed,2024-07-12 16:59:16
00T000000075,Task 75,006000000000381,Deferred,2023-06-22 06:04:54
00T000000076,Task 76,006000000000481,In Progress,2024-06-15 11:42:17
00T000000077,Task 77,006000000000283,Completed,2023-12-25 00:12:09
00T000000078,Task 78,006000000000386,Not Started,2024-10-16 10:45:43
00T000000079,Task 79,006000000000074,Completed,2023-04-15 19:58:03
00T000000080,Task 80,006000000000165,Not Started,2023-02-25 10:38:07
00T000000081,Task 81,006000000000188,Completed,2023-07-17 02:38:14
00T000000082,Task 82,006000000000077,Deferred,2023-06-28 18:49:11
00T000000083,Task 83,006000000000434,In Progress,2024-08-09 19:29:01
00T000000084,Task 84,006000000000089,Deferred,2023-02-05 21:38:03
00T000000085,Task 85,006000000000175,Completed,2023-09-14 16:01:12
00T000000086,Task 86,006000000000020,In Progress,2023-01-09 06:41:35
00T000000087,Task 87,006000000000053,Not Started,2023-08-04 22:13:34
00T000000088,Task 88,006000000000183,Completed,2023-08-29 11:39:16
00T000000089,Task 89,006000000000358,In Progress,2023-10-30 18:14:36
00T000000090,Task 90,006000000000221,Not Started,2024-02-05 13:30:44
00T000000091,Task 91,006000000000314,Not Started,2023-08-10 11:32:26
00T000000092,Task 92,006000000000327,Deferred,2024-03-04 16:43:53
00T000000093,Task 93,006000000000178,Completed,2023-01-25 01:56:03
00T000000094,Task 94,006000000000275,Not Started,2024-12-03 10:07:08
00T000000095,Task 95,006000000000111,In Progress,2023-10-22 13:20:40
00T000000096,Task 96,006000000000223,Not Started,2023-11-09 13:50:44
00T000000097,Task 97,006000000000213,Not Started,2023-07-04 16:18:53
00T000000098,Task 98,006000000000058,Deferred,2024-09-29 02:55:45
00T000000099,Task 99,006000000000326,Deferred,2023-03-02 16:32:14
00T000000100,Task 100,006000000000392,In Progress,2024-12-11 14:32:09
00T000000101,Task 101,006000000000108,Deferred,2024-01-12 10:09:59
00T000000102,Task 102,006000000000384,Not Started,2023-05-09 01:53:02
00T000000103,Task 103,006000000000156,Not Started,2024-11-02 07:25:58
00T000000104,Task 104,006000000000190,Deferred,2024-05-31 23:45:43
00T000000105,Task 105,006000000000199,Not Started,2024-08-06 23:58:19
00T000000106,Task 106,006000000000311,Not Started,2023-08-13 20:35:43
00T000000107,Task 107,006000000000195,In Progress,2023-02-26 06:21:22
00T000000108,Task 108,006000000000034,Deferred,2023-07-23 09:08:14
00T000000109,Task 109,006000000000378,Not Started,2023-01-24 18:21:02
00T000000110,Task 110,006000000000386,Deferred,2024-08-27 23:06:23
00T000000111,Task 111,006000000000245,In Progress,2024-12-08 12:06:59
00T000000112,Task 112,006000000000236,Deferred,2023-11-17 16:27:00
00T000000113,Task 113,006000000000103,Not Started,2024-11-08 07:03:33
00T000000114,Task 114,006000000000006,Deferred,2023-09-26 19:55:44
00T000000115,Task 115,006000000000282,Not Started,2023-10-21 21:20:03
00T000000116,Task 116,006000000000000,Not Started,2023-12-16 22:30:34
00T000000117,Task 117,006000000000218,Not Started,2024-02-17 08:16:43
00T000000118,Task 118,006000000000463,In Progress,2023-12-27 05:58:49
00T000000119,Task 119,006000000000229,Deferred,2023-11-30 11:57:48
00T000000120,Task 120,006000000000454,In Progress,2024-03-27 13:27:00
00T000000121,Task 121,006000000000171,Deferred,2024-07-07 13:43:50
00T000000122,Task 122,006000000000086,In Progress,2024-11-10 13:15:08
00T000000123,Task 123,006000000000040,Completed,2024-09-27 03:19:48
00T000000124,Task 124,006000000000122,Not Started,2023-05-06 18:52:28
00T000000125,Task 125,006000000000330,Not Started,2023-12-31 13:00:28
00T000000126,Task 126,006000000000297,In Progress,2023-09-22 22:10:56
00T000000127,Task 127,006000000000372,Completed,2023-01-14 21:25:46
00T000000128,Task 128,006000000000416,Not Started,2023-06-24 22:49:10
00T000000129,Task 129,006000000000177,Deferred,2023-10-24 21:18:31
00T000000130,Task 130,006000000000062,In Progress,2023-05-24 04:47:08
00T000000131,Task 131,006000000000483,Not Started,2023-09-24 02:31:50
00T000000132,Task 132,006000000000164,Not Started,2024-12-26 13:17:46
00T000000133,Task 133,006000000000488,In Progress,2023-01-21 08:59:59
00T000000134,Task 134,006000000000186,In Progress,2024-11-14 01:22:37
00T000000135,Task 135,006000000000382,Deferred,2023-06-20 19:27:56
00T000000136,Task 136,006000000000208,Deferred,2023-03-13 00:27:42
00T000000137,Task 137,006000000000226,Not Started,2023-06-30 11:32:19
00T000000138,Task 138,006000000000431,Not Started,2024-06-05 03:45:43
00T000000139,Task 139,006000000000388,In Progress,2023-05-25 22:50:55
00T000000140,Task 140,006000000000047,Not Started,2024-08-04 09:19:26
00T000000141,Task 141,006000000000223,Not Started,2023-09-25 15:33:08
